10000
         34621426 function calls (34606623 primitive calls) in 9.130 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      138    0.000    0.000    0.004    0.000 {built-in method builtins.all}
        1    0.000    0.000    0.004    0.004 texmanager.py:1(<module>)
        2    0.000    0.000    0.004    0.002 version.py:1(<module>)
      443    0.001    0.000    0.004    0.000 core.py:560(copy)
      515    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
        1    0.000    0.000    0.004    0.004 _mathtext.py:1(<module>)
     2202    0.002    0.000    0.004    0.000 typing.py:1294(_is_dunder)
       84    0.000    0.000    0.004    0.000 core.py:4427(<genexpr>)
      213    0.001    0.000    0.004    0.000 _compiler.py:514(_compile_info)
        1    0.000    0.000    0.004    0.004 hashlib.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _npyio_impl.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _methods.py:1(<module>)
        3    0.000    0.000    0.004    0.001 _common.py:1(<module>)
       45    0.003    0.000    0.004    0.000 {built-in method builtins.eval}
      248    0.001    0.000    0.004    0.000 typing.py:1307(__init__)
      642    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
      129    0.000    0.000    0.004    0.000 <frozen abc>:105(__new__)
        2    0.000    0.000    0.004    0.002 __init__.py:12(__getattr__)
     1178    0.000    0.000    0.004    0.000 <frozen abc>:117(__instancecheck__)
      443    0.001    0.000    0.004    0.000 copy.py:62(copy)
     59/7    0.000    0.000    0.004    0.001 core.py:4239(leave_whitespace)
       15    0.000    0.000    0.004    0.000 core.py:1734(__or__)
   129/61    0.000    0.000    0.004    0.000 core.py:4331(copy)
      360    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1620(_get_spec)
       15    0.000    0.000    0.003    0.000 core.py:4723(__init__)
        1    0.000    0.000    0.003    0.003 _tricontour.py:1(<module>)
        1    0.000    0.000    0.003    0.003 subprocess.py:1(<module>)
     5589    0.003    0.000    0.003    0.000 {method 'expandtabs' of 'str' objects}
       78    0.002    0.000    0.003    0.000 typing.py:1813(__hash__)
       55    0.000    0.000    0.003    0.000 typing.py:1574(copy_with)
     1178    0.001    0.000    0.003    0.000 {built-in method _abc._abc_instancecheck}
        1    0.000    0.000    0.003    0.003 parse.py:1(<module>)
        7    0.001    0.000    0.003    0.000 enum.py:898(_convert_)
       24    0.002    0.000    0.003    0.000 util.py:222(_collapse_string_to_ranges)
        1    0.000    0.000    0.003    0.003 socket.py:1(<module>)
      334    0.000    0.000    0.003    0.000 typing.py:789(<genexpr>)
     3262    0.002    0.000    0.003    0.000 {built-in method builtins.sorted}
        1    0.000    0.000    0.003    0.003 numerictypes.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _fontconfig_pattern.py:55(_make_fontconfig_parser)
      642    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:372(release)
      509    0.001    0.000    0.003    0.000 _inspect.py:97(getargspec)
 1696/205    0.001    0.000    0.003    0.000 <frozen abc>:121(__subclasscheck__)
    228/8    0.002    0.000    0.003    0.000 core.py:893(_parseNoCache)
 1696/205    0.003    0.000    0.003    0.000 {built-in method _abc._abc_subclasscheck}
     48/8    0.000    0.000    0.003    0.000 core.py:4490(parseImpl)
        1    0.000    0.000    0.003    0.003 spines.py:1(<module>)
      199    0.002    0.000    0.003    0.000 _compiler.py:241(_optimize_charset)
     5273    0.002    0.000    0.003    0.000 {built-in method builtins.setattr}
        7    0.000    0.000    0.003    0.000 core.py:3109(__init__)
 1274/409    0.002    0.000    0.003    0.000 _parser.py:177(getwidth)
       43    0.000    0.000    0.003    0.000 core.py:4728(<genexpr>)
        1    0.000    0.000    0.003    0.003 version.py:161(Version)
        1    0.000    0.000    0.003    0.003 _policybase.py:1(<module>)
        2    0.000    0.000    0.003    0.001 core.py:6563(srange)
        1    0.000    0.000    0.003    0.003 random_seq.py:1(<module>)
        1    0.003    0.003    0.003    0.003 _cm_listed.py:1(<module>)
      225    0.001    0.000    0.003    0.000 inspect.py:811(_finddoc)
        1    0.000    0.000    0.003    0.003 shutil.py:1(<module>)
        1    0.003    0.003    0.003    0.003 gridspec.py:1(<module>)
      654    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
       44    0.001    0.000    0.003    0.000 deprecation.py:414(make_keyword_only)
     9359    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
     4491    0.003    0.000    0.003    0.000 typing.py:1803(<genexpr>)
        1    0.000    0.000    0.003    0.003 backend_tools.py:1(<module>)
        1    0.000    0.000    0.003    0.003 plistlib.py:1(<module>)
    22993    0.003    0.000    0.003    0.000 {built-in method builtins.callable}
      209    0.001    0.000    0.003    0.000 enum.py:1607(__and__)
        1    0.000    0.000    0.003    0.003 dates.py:1(<module>)
        1    0.000    0.000    0.003    0.003 pickle.py:1(<module>)
      619    0.001    0.000    0.003    0.000 typing.py:164(_type_convert)
      360    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:834(spec_from_file_location)
        1    0.000    0.000    0.002    0.002 actions.py:1(<module>)
        1    0.000    0.000    0.002    0.002 __init__.py:31(message_from_string)
      480    0.001    0.000    0.002    0.000 enum.py:1059(_add_member_)
      372    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:420(__exit__)
        1    0.000    0.000    0.002    0.002 inset.py:1(<module>)
       95    0.001    0.000    0.002    0.000 typing.py:379(_remove_dups_flatten)
        6    0.000    0.000    0.002    0.000 enum.py:842(_create_)
        1    0.000    0.000    0.002    0.002 ExifTags.py:21(Base)
      654    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1501(_path_importer_cache)
       14    0.000    0.000    0.002    0.000 core.py:5469(parseImpl)
      327    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1234(path_stats)
        1    0.000    0.000    0.002    0.002 format.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _tripcolor.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _function_base_impl.py:1(<module>)
        1    0.000    0.000    0.002    0.002 header.py:1(<module>)
      846    0.001    0.000    0.002    0.000 inspect.py:764(unwrap)
    30/12    0.000    0.000    0.002    0.000 core.py:5031(parseImpl)
      507    0.001    0.000    0.002    0.000 typing.py:1358(__getattr__)
        1    0.000    0.000    0.002    0.002 tempfile.py:1(<module>)
     10/3    0.000    0.000    0.002    0.001 unicode.py:14(__get__)
     9114    0.002    0.000    0.002    0.000 {method 'rstrip' of 'str' objects}
      148    0.000    0.000    0.002    0.000 typing.py:351(_deduplicate)
        1    0.000    0.000    0.002    0.002 tz.py:1(<module>)
        1    0.000    0.000    0.002    0.002 core.py:390(ParserElement)
       25    0.000    0.000    0.002    0.000 dtypes.py:30(_add_dtype_helper)
    24/12    0.000    0.000    0.002    0.000 core.py:4749(parseImpl)
      281    0.001    0.000    0.002    0.000 {built-in method fromkeys}
       38    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1676(_fill_cache)
     7768    0.002    0.000    0.002    0.000 {method 'pop' of 'list' objects}
        1    0.000    0.000    0.002    0.002 _polynomial_impl.py:1(<module>)
       38    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1488(_path_hooks)
       67    0.002    0.000    0.002    0.000 colors.py:1134(reversed)
  278/178    0.000    0.000    0.002    0.000 core.py:2138(name)
        1    0.000    0.000    0.002    0.002 _format_impl.py:1(<module>)
       39    0.000    0.000    0.002    0.000 colors.py:419(to_rgba_array)
        1    0.000    0.000    0.002    0.002 decoder.py:1(<module>)
      332    0.002    0.000    0.002    0.000 {method '__exit__' of '_io._IOBase' objects}
  208/115    0.000    0.000    0.002    0.000 core.py:2091(default_name)
       11    0.000    0.000    0.002    0.000 typing.py:1449(__ror__)
      327    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:698(_classify_pyc)
        1    0.000    0.000    0.002    0.002 _afm.py:1(<module>)
        8    0.001    0.000    0.002    0.000 enum.py:1753(convert_class)
       40    0.002    0.000    0.002    0.000 {built-in method posix.listdir}
     1626    0.001    0.000    0.002    0.000 cbook.py:468(_strip_comment)
     1751    0.002    0.000    0.002    0.000 typing.py:840(<genexpr>)
        1    0.000    0.000    0.002    0.002 sequence.py:1(<module>)
      196    0.000    0.000    0.002    0.000 _parser.py:97(closegroup)
      563    0.001    0.000    0.002    0.000 inspect.py:176(get_annotations)
      332    0.000    0.000    0.002    0.000 __init__.py:183(sub)
     6730    0.002    0.000    0.002    0.000 _parser.py:239(__next)
     22/3    0.000    0.000    0.002    0.001 core.py:4440(streamline)
       72    0.002    0.000    0.002    0.000 {built-in method builtins.compile}
       68    0.000    0.000    0.002    0.000 typing.py:1023(__init__)
        1    0.000    0.000    0.002    0.002 unicode.py:80(alphanums)
        1    0.000    0.000    0.002    0.002 ipaddress.py:1(<module>)
        1    0.000    0.000    0.002    0.002 datetime.py:1(<module>)
      642    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:74(__new__)
      225    0.001    0.000    0.002    0.000 inspect.py:801(_findclass)
1390/1210    0.001    0.000    0.002    0.000 {method 'update' of 'dict' objects}
        2    0.000    0.000    0.002    0.001 unicode.py:55(_chars_for_ranges)
        1    0.000    0.000    0.002    0.002 unicode.py:70(alphas)
        1    0.000    0.000    0.002    0.002 _text_helpers.py:1(<module>)
    10000    0.002    0.000    0.002    0.000 sequence.py:58(sequence)
     30/4    0.000    0.000    0.002    0.000 core.py:4279(streamline)
      795    0.001    0.000    0.002    0.000 {built-in method builtins.max}
      239    0.001    0.000    0.002    0.000 core.py:484(__init__)
      490    0.001    0.000    0.002    0.000 _inspect.py:66(getargs)
      443    0.001    0.000    0.002    0.000 copy.py:248(_reconstruct)
        1    0.000    0.000    0.002    0.002 font_manager.py:1625(_load_fontmanager)
        1    0.000    0.000    0.002    0.002 random.py:1(<module>)
       14    0.000    0.000    0.001    0.000 core.py:121(doc_note)
        1    0.000    0.000    0.001    0.001 helpers.py:686(make_html_tags)
        1    0.000    0.000    0.001    0.001 calendar.py:1(<module>)
        1    0.000    0.000    0.001    0.001 helpers.py:627(_makeTags)
        1    0.000    0.000    0.001    0.001 parser.py:1(<module>)
        1    0.000    0.000    0.001    0.001 layout_engine.py:1(<module>)
       15    0.000    0.000    0.001    0.000 core.py:669(set_parse_action)
     2919    0.001    0.000    0.001    0.000 _parser.py:255(match)
      981    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:89(_unpack_uint32)
        1    0.000    0.000    0.001    0.001 ImageFile.py:1(<module>)
      132    0.000    0.000    0.001    0.000 inspect.py:3119(replace)
       83    0.000    0.000    0.001    0.000 core.py:4203(__init__)
        1    0.000    0.000    0.001    0.001 _twodim_base_impl.py:1(<module>)
       19    0.000    0.000    0.001    0.000 core.py:257(_trim_arity)
